2023-01-01 a 2023-01-07, Quantidade: 44
2023-01-08 a 2023-01-14, Quantidade: 53
2023-01-15 a 2023-01-21, Quantidade: 45
2023-01-22 a 2023-01-28, Quantidade: 51
2023-01-29 a 2023-02-04, Quantidade: 46
2023-02-05 a 2023-02-11, Quantidade: 58
2023-02-12 a 2023-02-18, Quantidade: 38
2023-02-19 a 2023-02-25, Quantidade: 38
2023-02-26 a 2023-03-04, Quantidade: 51
2023-03-05 a 2023-03-11, Quantidade: 49
2023-03-12 a 2023-03-18, Quantidade: 46
2023-03-19 a 2023-03-25, Quantidade: 60
2023-03-26 a 2023-04-01, Quantidade: 62
2023-04-02 a 2023-04-08, Quantidade: 62
2023-04-09 a 2023-04-15, Quantidade: 50
2023-04-16 a 2023-04-22, Quantidade: 52
2023-04-23 a 2023-04-29, Quantidade: 50
2023-04-30 a 2023-05-06, Quantidade: 49
2023-05-07 a 2023-05-13, Quantidade: 57
2023-05-14 a 2023-05-20, Quantidade: 56
2023-05-21 a 2023-05-27, Quantidade: 57
2023-05-28 a 2023-06-03, Quantidade: 61
2023-06-04 a 2023-06-10, Quantidade: 41
2023-06-11 a 2023-06-17, Quantidade: 60
2023-06-18 a 2023-06-24, Quantidade: 44
2023-06-25 a 2023-07-01, Quantidade: 56
2023-07-02 a 2023-07-08, Quantidade: 52
2023-07-09 a 2023-07-15, Quantidade: 49
2023-07-16 a 2023-07-22, Quantidade: 54
2023-07-23 a 2023-07-29, Quantidade: 56
2023-07-30 a 2023-08-05, Quantidade: 54
2023-08-06 a 2023-08-12, Quantidade: 65
